Title,URL,Current Topics,Primary Topic,Secondary Topic,Content Type,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Bundled HAI Prevention: Comprehensive Strategies for Reducing Infections,https://industryperspectives.com/bundled-hai-prevention-comprehensive-strategies-reducing-infections/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content",HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Product Solutions,Medical Devices and Equipment,Surface Cleaners and disinfectants,Sterilizers,Surface cleaning and disinfection,
"Tru-D’s One Placement, One Cycle and One Solution Approach to UV Disinfection",https://industryperspectives.com/tru-ds-one-placement-one-cycle-one-solution-approach-uv-disinfection/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Medical Devices and Equipment,Sterilizers,Surface Cleaners and disinfectants,Surface cleaning and disinfection,
All Hands On Deck,https://industryperspectives.com/all-hands-on-deck/,"Care Settings, Hand Hygiene, Sponsored Content",Hand Hygiene,Environmental Infection,Education/Training,Skin Disinfection,Antibacterial products,Behavioral health,,
Active Surveillance Testing with Targeted MRSA Decolonization,https://industryperspectives.com/active-surveillance-testing-targeted-mrsa-decolonization/,"Diagnostics, HAIs: Types and Pathogens, Sponsored Content",Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,MRSA,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Surveillance/ Reporting,,
Curbing the Infection Risk of Healthcare Garments,https://industryperspectives.com/curbing-infection-risk-healthcare-garments/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,PPE – Personal protective equipment,,,
Antimicrobial Prescribing: Optimization through Drug Dosing and MIC,https://industryperspectives.com/antimicrobial-prescribing-optimization-drug-dosing-mic/,"Diagnostics, Sponsored Content","Decontamination, Disinfection and Sterilization",Health Information Technology,Education/Training,Monitoring,Patient/process monitoring,,,
Emerging Impact of Biofilms on the Environment of Care,https://industryperspectives.com/emerging-impact-of-biofilms-on-the-environment-of-care/,"Environmental Infection, Environmental Services, Sponsored Content",Environmental Infection,Health Information Technology,Product Solutions,Water Management,Medical Devices and Equipment,Surface Cleaners and disinfectants,Surface cleaning and disinfection,
Presurgical Molecular Testing for Staphylococcal Nasal Colonization,https://industryperspectives.com/presurgical-molecular-testing-for-staphylococcal-nasal-colonization/,"Care Settings, HAIs: Types and Pathogens",Diagnostics,HAIs: Types and Pathogens,Research/Whitepapers,Molecular Diagnostics,MRSA,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,
Trending Topics in C. difficile Diagnosis and Reporting,https://industryperspectives.com/trending-topics-in-c-difficile-diagnosis-and-reporting/,"C Diff, Care Settings, HAIs: Types and Pathogens, Sponsored Content",Diagnostics,HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,,
2018 APIC Symposium – Traceability of Processed Devices: Application to Ultrasound Probes,https://industryperspectives.com/traceability-of-processed-devices-application-to-ultrasound-probes/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),"Screening/testing for pathogen (MRSA, C. diff, etc.)",Molecular Diagnostics,,
2018 APIC Symposium – Challenges in Ultrasound Infection Prevention,https://industryperspectives.com/2018-apic-symposium-challenges-in-ultrasound-infection-prevention/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Medical Devices and Equipment,Patient/process monitoring,Antibacterial products,Sterilizers,
2018 APIC Symposium – Launch of an Infection Preventionist Toolkit for Ultrasound,https://industryperspectives.com/2018-apic-symposium-launch-of-an-infection-preventionist-toolkit-for-ultrasound/,"Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Medical Devices and Equipment,Patient/process monitoring,Antibacterial products,Sterilizers,
Introducing Clorox Healthcare VersaSure Alcohol-Free Cleaner Disinfectant Wipes,https://industryperspectives.com/introducing-clorox-healthcare-versasure-alcohol-free-cleaner-disinfectant-wipes/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,,
Infographic: Impact of MRSA/S. aureus Colonization on SSIs,https://industryperspectives.com/infographic-impact-of-mrsa-s-aureus-colonization-on-ssis/,"Health Information Technology, Sponsored Content",HAIs: Types and Pathogens,Health Information Technology,Product Solutions,Molecular Diagnostics,MRSA,SSI,Surgical Suite,"Screening/testing for pathogen (MRSA, C. diff, etc.)"
Meta-Analysis Indicates Hydrofiber® Dressings May Lower Post-Op Infection Risks After Total Joint Arthroplasty,https://industryperspectives.com/meta-analysis-indicates-hydrofiber-dressings-may-lower-post-op-infection-risks-after-total-joint-arthroplasty/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,PPE – Personal protective equipment,Surgical Suite,Antibacterial products,,
Implementing single-patient-use ECG cable & lead wire systems to reduce surgical site infections,https://industryperspectives.com/implementing-single-patient-use-ecg-cable-lead-wire-systems-to-reduce-surgical-site-infections/,"Environment of Care, Environmental Infection, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,Medical Devices and Equipment,SSI,Surgical Suite,,
Laundry Tour Planner for Healthcare Professionals,https://industryperspectives.com/laundry-tour-planner-for-healthcare-professionals/,"Environmental Infection, Environmental Services, Laundry and Linen Management",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,PPE – Personal protective equipment,Medical Devices and Equipment,,
Dry surface Biofilm the next challenge in infection prevention,https://industryperspectives.com/dry-surface-biofilm-the-next-challenge-in-infection-prevention/,"Environmental Infection, Environmental Services, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,,
Success Story: Using Prevantics® to reduce CLABSIs,https://industryperspectives.com/success-story-using-prevantics-to-reduce-clabsis/,"HAIs: Types and Pathogens, Hand Hygiene, Sponsored Content",HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Product Solutions,Skin Disinfection,CLABSI,,,
Reducing SSIs in the Era of Payment Reform,https://industryperspectives.com/reducing-ssis-in-the-era-of-payment-reform/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,SSI,MRSA,Surgical Suite,,
Benefits of Presurgical MRSA Testing,https://industryperspectives.com/benefits-of-presurgical-mrsa-testing/,HAIs: Types and Pathogens,Diagnostics,Health Information Technology,Education/Training,"Screening/testing for pathogen (MRSA, C. diff, etc.)",SSI,MRSA,Surgical Suite,
Want to Improve Hand Hygiene Compliance? Stop Focusing on Changing Behavior and Start Building Meaningful Relationships,https://industryperspectives.com/want-to-improve-hand-hygiene-compliance-stop-focusing-on-changing-behavior-and-start-building-meaningful-relationships/,Hand Hygiene,Hand Hygiene,"Decontamination, Disinfection and Sterilization",Education/Training,Monitoring,Antibacterial products,Skin Disinfection,,
The Ultimate Guide to Healthy Hands,https://industryperspectives.com/the-ultimate-guide-to-healthy-hands/,"Hand Hygiene, Sponsored Content",Hand Hygiene,"Decontamination, Disinfection and Sterilization",Education/Training,Skin Disinfection,Antibacterial products,,,
How TimeAlert® IV Aids Compliance and Reminds Nurses When It’s Time to Change IV Tubing,https://industryperspectives.com/how-timealert-iv-aids-compliance-and-reminds-nurses-when-its-time-to-change-iv-tubing/,"HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Health Information Technology,Product Solutions,Active surveillance testing – rapid testing,Monitoring,Patient/process monitoring,Screening,
It’s Time for a Change. How to Use TimeAlert® IV Time-indicating Reminder Labels to Aid Compliance,https://industryperspectives.com/its-time-for-a-change-how-to-use-timealert-iv-time-indicating-reminder-labels-to-aid-compliance/,"HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Health Information Technology,Product Solutions,Screening,Active surveillance testing – rapid testing,Patient/process monitoring,Monitoring,
PDI Introduces FREE Continuing Education Courses,https://industryperspectives.com/pdi-introduces-free-continuing-education-courses/,"Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Education/Training,Patient/process monitoring,Home Health,Behavioral health,,
Hand Hygiene Indications & Product Placement Guide for Intraoperative Settings,https://industryperspectives.com/hand-hygiene-indications-product-placement-guide-for-intraoperative-settings/,Hand Hygiene,Hand Hygiene,Environmental Infection,Product Solutions,Water Management,Gowns,Antibacterial products,Skin Disinfection,
Advancing the profession: An updated future-oriented competency model for professional development,https://industryperspectives.com/advancing-the-profession-an-updated-future-oriented-competency-model-for-professional-development-in-infection-prevention-and-control/,"Care Settings, Decontamination, Disinfection and Sterilization, Diagnostics, Environmental Infection, HAIs: Types and Pathogens, Hand Hygiene, Health Information Technology, IP Guidelines & Standards",Environmental Infection,Health Information Technology,Education/Training,Behavioral health,Surveillance/ Reporting,,,
Improving Hand Hygiene Compliance with Innovative Technology and Increased Accountability,https://industryperspectives.com/improving-hand-hygiene-compliance-with-innovative-technology-and-increased-accountability/,"Hand Hygiene, Health Information Technology",Hand Hygiene,Health Information Technology,Product Solutions,Monitoring,Antibacterial products,Skin Disinfection,,
In situ evaluation of a persistent disinfectant provides continuous decontamination within the clinical environment,https://industryperspectives.com/in-situ-evaluation-of-a-persistent-disinfectant-provides-continuous-decontamination-within-the-clinical-environment/,"Decontamination, Disinfection and Sterilization, HAIs: Types and Pathogens","Decontamination, Disinfection and Sterilization",Health Information Technology,Product Solutions,Surface Cleaners and disinfectants,Surface cleaning and disinfection,Antibacterial products,,
<i>Clostridioides difficile</i> (formally <i>Clostridium difficile</i>) infection educational booklet,https://industryperspectives.com/clostridioides-difficile-formally-clostridium-difficile-infection-educational-booklet/,"Diagnostics, HAIs: Types and Pathogens",HAIs: Types and Pathogens,Environmental Infection,Education/Training,Molecular Diagnostics,CDI (C. difficile),Screening,"Screening/testing for pathogen (MRSA, C. diff, etc.)",
The bioMérieux EPISEQ®CS offering is a new Epidemiology Service to help healthcare institutions manage outbreaks,https://industryperspectives.com/the-biomerieux-episeqcs-offering-is-a-new-epidemiology-service-to-help-healthcare-institutions-manage-outbreaks/,"Environmental Infection, HAIs: Types and Pathogens",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,SSI,Medical Devices and Equipment,Surgical Suite,,
Unraveling the Mystery of The Joint Commission Survey: What is the Expectation Around Hand Hygiene?,https://industryperspectives.com/unraveling-the-mystery-of-the-joint-commission-survey-what-is-the-expectation-around-hand-hygiene/,Hand Hygiene,Hand Hygiene,Environmental Infection,Research/Whitepapers,Skin Disinfection,Patient/process monitoring,Antibacterial products,,
Clostridioides difficile Infection Prevention: the Role of Patient Bathing and Issues with Current Practice,https://industryperspectives.com/clostridioides-difficile-infection-prevention-the-role-of-patient-bathing-and-issues-with-current-practice/,"C Diff, HAIs: Types and Pathogens",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,Skin Disinfection,CDI (C. difficile),Medical Devices and Equipment,,
Antiseptic Stewardship: A Call to Action,https://industryperspectives.com/antiseptic-stewardship-a-call-to-action/,Hand Hygiene,HAIs: Types and Pathogens,Environmental Infection,Product Solutions,Active surveillance testing – rapid testing,Skin Disinfection,,,
Optimal Skin pH and Why It Matters,https://industryperspectives.com/optimal-skin-ph-and-why-it-matters/,Hand Hygiene,"Decontamination, Disinfection and Sterilization",Environmental Infection,Research/Whitepapers,Skin Disinfection,Alcohol prep pads – sterility issues,Medical Devices and Equipment,,
The Hidden Danger of Biofilms,https://industryperspectives.com/the-hidden-danger-of-biofilms/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Research/Whitepapers,Medical Devices and Equipment,Skin Disinfection,Surgical Suite,,
The GOJO Guide to Fire Safety and Alcohol-Based Hand Rubs,https://industryperspectives.com/the-gojo-guide-to-fire-safety-and-alcohol-based-hand-rubs/,Hand Hygiene,Hand Hygiene,Health Information Technology,Education/Training,Skin Disinfection,Outpatient,Ventilation,Antibacterial products,Surveillance/ Reporting
Rethink Your Approach to Infection Control,https://industryperspectives.com/rethink-your-approach-to-infection-control/,HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Medical Devices and Equipment,Skin Disinfection,,,
Bacteria attributed to sterile gel in ultrasound guided central line insertions,https://industryperspectives.com/bacteria-attributed-to-sterile-gel-in-ultrasound-guided-central-line-insertions/,HAIs: Types and Pathogens,Environmental Infection,HAIs: Types and Pathogens,Product Solutions,Medical Devices and Equipment,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Patient/process monitoring,,
Confident Compliance for TEE Ultrasound Probes,https://industryperspectives.com/confident-compliance-for-tee-ultrasound-probes/,"Decontamination, Disinfection and Sterilization",Environmental Infection,HAIs: Types and Pathogens,Product Solutions,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Medical Devices and Equipment,Patient/process monitoring,,
Utilizing a Business Case to Link Reduction in Infections to Reduction in Costs,https://industryperspectives.com/utilizing-a-business-case-to-link-reduction-in-infections-to-reduction-in-costs/,HAIs: Types and Pathogens,Environmental Infection,HAIs: Types and Pathogens,Research/Whitepapers,CLABSI,Surgical Suite,,,
Technical Review & Assessment of PURELL Healthcare CRT HEALTHY SOAP,https://industryperspectives.com/technical-review-assessment-of-purell-healthcare-crt-healthy-soap/,Hand Hygiene,Hand Hygiene,Hand Hygiene,Product Solutions,Skin Disinfection,PPE – Personal protective equipment,Antibacterial products,,
Less Can Be More: Evaluating Quality vs. Quantity of Disinfectant Kill Claims,https://industryperspectives.com/less-can-be-more-evaluating-quality-vs-quantity-of-disinfectant-kill-claims/,"Environmental Infection, HAIs: Types and Pathogens","Decontamination, Disinfection and Sterilization",Environmental Infection,Research/Whitepapers,Surface Cleaners and disinfectants,Surface cleaning and disinfection,Patient/process monitoring,,
PDI Acquires Majority Share of Tru-D® SmartUVC,https://industryperspectives.com/pdi-acquires-majority-share-of-tru-d-smartuvc/,Environmental Infection,"Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Product Solutions,Surveillance/ Reporting,Sterilizers,Medical Devices and Equipment,Surface cleaning and disinfection,Surface Cleaners and disinfectants
The Ultimate Guide to Healthy Hands,https://industryperspectives.com/the-ultimate-guide-to-healthy-hands-2/,Hand Hygiene,Hand Hygiene,,,,,,,
APIC’s Coronavirus (2019-nCoV) Fact Sheet,APIC’s Coronavirus (2019-nCoV) Fact Sheet,COVID-19,COVID-19,Environmental Infection,Education/Training,PPE – Personal protective equipment,Masks,Face shields,,
"Coronavirus (COVID-19) Update: FDA provides guidance on production of alcohol-based hand sanitizer to help boost supply, protect public health",https://industryperspectives.com/coronavirus-covid-19-update-fda-provides-guidance-on-production-of-alcohol-based-hand-sanitizer-to-help-boost-supply-protect-public-health/,COVID-19,COVID-19,,,,,,,
Coronavirus Disease 2019 (COVID-2019) Outbreak Protection by Pall Breathing System Filters in Mechanical Ventilation,Coronavirus Disease 2019 (COVID-2019) Outbreak Protection by Pall Breathing System Filters in Mechanical Ventilation,COVID-19,COVID-19,Health Information Technology,Product Solutions,Ventilation,Medical Devices and Equipment,,,
COVID-19 Infection Control Resources for Ultrasound,COVID-19 Infection Control Resources for Ultrasound,COVID-19,COVID-19,Environmental Infection,Product Solutions,Screening,Medical Devices and Equipment,,,
CloroxPro.com COVID-19 Hub,CloroxPro.com COVID-19 Hub,COVID-19,COVID-19,"Decontamination, Disinfection and Sterilization",Education/Training,Masks,Gowns,Face shields,PPE – Personal protective equipment,
SARS-CoV-2 Pathogen Education Sheet,SARS-CoV-2 Pathogen Education Sheet,COVID-19,COVID-19,HAIs: Types and Pathogens,Education/Training,SARSCoV-2,Molecular Diagnostics,,,
Free Webinars: Infection Control in Ultrasound to Manage COVID-19,Free Webinars: Infection Control in Ultrasound to Manage COVID-19,COVID-19,COVID-19,Environmental Infection,Product Solutions,Medical Devices and Equipment,Screening,Molecular Diagnostics,,
Next Advance Face Shields,Next Advance Face Shields,COVID-19,COVID-19,Environmental Infection,Product Solutions,Face shields,Masks,PPE – Personal protective equipment,,
Killing Coronavirus Aerosols with Air Decontamination System,Killing Coronavirus Aerosols with Air Decontamination System,COVID-19,COVID-19,Environmental Infection,Product Solutions,Medical Devices and Equipment,Ventilation,SARSCoV-2,,
"COVID-19: Quickly Disinfect Disposables, Stethoscopes, Phones, and Other Small Hard-to-Clean Items","COVID-19: Quickly Disinfect Disposables, Stethoscopes, Phones, and Other Small Hard-to-Clean Items",COVID-19,COVID-19,"Decontamination, Disinfection and Sterilization",Product Solutions,Masks,PPE – Personal protective equipment,Medical Devices and Equipment,,
"ModTruss, Inc. COVID-19 Negative Pressure Room Resources","ModTruss, Inc. COVID-19 Negative Pressure Room Resources",COVID-19,COVID-19,Environmental Infection,Education/Training,PPE – Personal protective equipment,Ventilation,Sterilizers,,
Answering Questions around Coronavirus: The Chain of Transmission Model,Answering Questions around Coronavirus: The Chain of Transmission Model,COVID-19,COVID-19,Environmental Infection,Research/Whitepapers,SARSCoV-2,Ventilation,PPE – Personal protective equipment,,
How Boston Scientific is Responding to the COVID-19 Pandemic,How Boston Scientific is Responding to the COVID-19 Pandemic,COVID-19,COVID-19,Environmental Infection,Education/Training,SARSCoV-2,PPE – Personal protective equipment,Medical Devices and Equipment,,
COVID-19: Preventable Secondary Bacterial Infections/Unnecessary Exposure to Staff,COVID-19: Preventable Secondary Bacterial Infections/Unnecessary Exposure to Staff,COVID-19,COVID-19,HAIs: Types and Pathogens,Research/Whitepapers,SARSCoV-2,Medical Devices and Equipment,"Screening/testing for pathogen (MRSA, C. diff, etc.)",,
STERIS Decontamination Solutions for compatible N95 or N95-equivalent Respirators,STERIS Decontamination Solutions for compatible N95 or N95-equivalent Respirators,COVID-19,COVID-19,Environmental Infection,Product Solutions,Face shields,Masks,PPE – Personal protective equipment,SARSCoV-2,
COVID-19: Focus on surface disinfection,COVID-19: Focus on surface disinfection,COVID-19,COVID-19,HAIs: Types and Pathogens,Research/Whitepapers,SARSCoV-2,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,
CEPro Inc – Environmental infection Control,CEPro Inc – Environmental infection Control,COVID-19,COVID-19,Environmental Infection,Product Solutions,HEPA Filtration,Ventilation,Medical Devices and Equipment,SARSCoV-2,
Ultrasound Infection Prevention in COVID-19 Patient Care,Ultrasound Infection Prevention in COVID-19 Patient Care,COVID-19,COVID-19,HAIs: Types and Pathogens,Product Solutions,Molecular Diagnostics,SARSCoV-2,Medical Devices and Equipment,Monitoring,
"Normal Alcohol a Good Product, Add Persistence and Wala!","Normal Alcohol a Good Product, Add Persistence and Wala!",COVID-19,COVID-19,Hand Hygiene,Product Solutions,Skin Disinfection,Antibacterial products,SARSCoV-2,,
"ModTruss, Inc. Hygienic Room Partitions for COVID-19","ModTruss, Inc. Hygienic Room Partitions for COVID-19",COVID-19,COVID-19,Environmental Infection,Product Solutions,Medical Devices and Equipment,PPE – Personal protective equipment,SARSCoV-2,,
How Whom Home is responding to the COVID-19 Pandemic,How Whom Home is responding to the COVID-19 Pandemic,COVID-19,COVID-19,Environmental Infection,Product Solutions,Face shields,Masks,PPE – Personal protective equipment,,
PURO – Breakthrough UV Light Disinfection Solution,PURO – Breakthrough UV Light Disinfection Solution,COVID-19,COVID-19,"Decontamination, Disinfection and Sterilization",Product Solutions,MRSA,SARSCoV-2,Medical Devices and Equipment,Surface Cleaners and disinfectants,Surface cleaning and disinfection
"Medical Gloves for COVID-19: Manufacturing, Purchasing, Importing, and Donating Gloves","Medical Gloves for COVID-19: Manufacturing, Purchasing, Importing, and Donating Gloves",COVID-19,COVID-19,Environmental Infection,Product Solutions,PPE – Personal protective equipment,Medical Devices and Equipment,SARSCoV-2,,
"GHX COVID-19 Information Center: Actionable Insights, Tools","GHX COVID-19 Information Center: Actionable Insights, Tools",COVID-19,COVID-19,Environmental Infection,Education/Training,SARSCoV-2,PPE – Personal protective equipment,Long-term care,Acute care,
Diversey Announces Efficacy Testing Against SARS-CoV-2,Diversey Announces Efficacy Testing Against SARS-CoV-2,COVID-19,COVID-19,Environmental Infection,Research/Whitepapers,SARSCoV-2,PPE – Personal protective equipment,Antibacterial products,Medical Devices and Equipment,
CoachCare HIPAA-compliant Virtual Tools for Clinics During COVID-19,CoachCare HIPAA-compliant Virtual Tools for Clinics During COVID-19,COVID-19,COVID-19,Health Information Technology,Product Solutions,Active surveillance testing – rapid testing,Monitoring,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Screening,Medical Devices and Equipment
Tydracide™ Testing Shows Greater Than 99.999% Kill Rate on COVID-19 Virus in One Minute,Tydracide™ Testing Shows Greater Than 99.999% Kill Rate on COVID-19 Virus in One Minute,COVID-19,COVID-19,"Decontamination, Disinfection and Sterilization",Research/Whitepapers,SARSCoV-2,Surface cleaning and disinfection,Surface Cleaners and disinfectants,,
Aligning PDI CE Programs with the CIC Infection Prevention Unit (IPU) Certification Renewal Option,Aligning PDI CE Programs with the CIC Infection Prevention Unit (IPU) Certification Renewal Option,Environmental Infection,Environmental Infection,Health Information Technology,Education/Training,SARSCoV-2,Patient/process monitoring,,,
Contact Transmission of SARS-CoV-2 from the Environment and Personal Protective Equipment: How Significant Is It?,Contact Transmission of SARS-CoV-2 from the Environment and Personal Protective Equipment: How Significant Is It?,"Decontamination, Disinfection and Sterilization","Decontamination, Disinfection and Sterilization",Environmental Infection,Research/Whitepapers,SARSCoV-2,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,
Impact of Pure Air dehumidification technology on OR suite air supply at O’Connor Hospital,Impact of Pure Air dehumidification technology on OR suite air supply at O’Connor Hospital,Environmental Infection,Environmental Infection,Environmental Infection,Research/Whitepapers,Medical Devices and Equipment,Ventilation,,,
The ROI of Electronic Hand Hygiene Compliance Monitoring: The Value Your Hospital Can Realize by Making the Switch,The ROI of Electronic Hand Hygiene Compliance Monitoring: The Value Your Hospital Can Realize by Making the Switch,Hand Hygiene,Hand Hygiene,Health Information Technology,Product Solutions,Monitoring,Patient/process monitoring,Skin Disinfection,Medical Devices and Equipment,
Immediate Feedback Yields Immediate Impact: How Hand Hygiene Compliance Monitoring Influences Behavior Change,Immediate Feedback Yields Immediate Impact: How Hand Hygiene Compliance Monitoring Influences Behavior Change,Hand Hygiene,Hand Hygiene,Health Information Technology,Product Solutions,Monitoring,Medical Devices and Equipment,Antibacterial products,Skin Disinfection,Antibacterial products
A Guide to Selecting the Right Electronic Hand Hygiene Compliance Monitoring Solution for Your Hospital,A Guide to Selecting the Right Electronic Hand Hygiene Compliance Monitoring Solution for Your Hospital,Hand Hygiene,Hand Hygiene,Health Information Technology,Education/Training,Antibacterial products,Skin Disinfection,Monitoring,Patient/process monitoring,
The Science of Compliance: What Drives Hand Hygiene Compliance and How Can We Improve it?,The Science of Compliance: What Drives Hand Hygiene Compliance and How Can We Improve it?,Hand Hygiene,Hand Hygiene,Health Information Technology,Research/Whitepapers,Monitoring,Patient/process monitoring,Medical Devices and Equipment,Skin Disinfection,Antibacterial products
Intubation Shield,https://industryperspectives.com/intubation-shield/,COVID-19,COVID-19,,,,,,,
A Layered Approach To Infection Prevention,https://industryperspectives.com/a-layered-approach-to-infection-prevention/,Environmental Infection,Environmental Infection,,,,,,,